ndim,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14,fold_15,fold_16,fold_17,fold_18,fold_19,fold_20
14,0.752066115702,0.727272727273,0.611570247934,0.652892561983,0.619834710744,0.677685950413,0.719008264463,0.702479338843,0.685950413223,0.644628099174,0.702479338843,0.677685950413,0.743801652893,0.719008264463,0.716666666667,0.608333333333,0.65,0.741666666667,0.683333333333,0.616666666667
15,0.702479338843,0.685950413223,0.595041322314,0.595041322314,0.611570247934,0.685950413223,0.677685950413,0.669421487603,0.669421487603,0.619834710744,0.636363636364,0.652892561983,0.735537190083,0.644628099174,0.691666666667,0.6,0.608333333333,0.716666666667,0.658333333333,0.591666666667
16,0.677685950413,0.636363636364,0.561983471074,0.561983471074,0.586776859504,0.685950413223,0.644628099174,0.636363636364,0.619834710744,0.603305785124,0.595041322314,0.603305785124,0.710743801653,0.586776859504,0.658333333333,0.575,0.566666666667,0.675,0.608333333333,0.541666666667
17,0.652892561983,0.628099173554,0.545454545455,0.553719008264,0.561983471074,0.644628099174,0.619834710744,0.636363636364,0.595041322314,0.595041322314,0.553719008264,0.586776859504,0.710743801653,0.578512396694,0.625,0.575,0.55,0.675,0.591666666667,0.508333333333
18,0.644628099174,0.619834710744,0.504132231405,0.512396694215,0.561983471074,0.619834710744,0.578512396694,0.619834710744,0.595041322314,0.578512396694,0.537190082645,0.561983471074,0.661157024793,0.545454545455,0.616666666667,0.566666666667,0.541666666667,0.65,0.575,0.483333333333
19,0.628099173554,0.603305785124,0.495867768595,0.504132231405,0.537190082645,0.603305785124,0.561983471074,0.603305785124,0.578512396694,0.578512396694,0.537190082645,0.553719008264,0.661157024793,0.528925619835,0.6,0.558333333333,0.525,0.616666666667,0.566666666667,0.466666666667
20,0.611570247934,0.603305785124,0.495867768595,0.495867768595,0.520661157025,0.578512396694,0.528925619835,0.586776859504,0.570247933884,0.570247933884,0.520661157025,0.520661157025,0.628099173554,0.520661157025,0.566666666667,0.541666666667,0.483333333333,0.608333333333,0.55,0.458333333333
21,0.611570247934,0.595041322314,0.487603305785,0.487603305785,0.512396694215,0.561983471074,0.537190082645,0.578512396694,0.553719008264,0.561983471074,0.520661157025,0.537190082645,0.619834710744,0.487603305785,0.55,0.525,0.491666666667,0.6,0.516666666667,0.458333333333
22,0.570247933884,0.570247933884,0.479338842975,0.471074380165,0.512396694215,0.553719008264,0.520661157025,0.586776859504,0.537190082645,0.561983471074,0.504132231405,0.528925619835,0.586776859504,0.487603305785,0.533333333333,0.508333333333,0.475,0.6,0.525,0.45
23,0.537190082645,0.578512396694,0.471074380165,0.454545454545,0.512396694215,0.545454545455,0.487603305785,0.578512396694,0.520661157025,0.528925619835,0.479338842975,0.512396694215,0.578512396694,0.479338842975,0.533333333333,0.5,0.466666666667,0.591666666667,0.5,0.441666666667
24,0.528925619835,0.561983471074,0.471074380165,0.446280991736,0.512396694215,0.520661157025,0.471074380165,0.561983471074,0.520661157025,0.512396694215,0.479338842975,0.495867768595,0.570247933884,0.487603305785,0.541666666667,0.491666666667,0.433333333333,0.575,0.5,0.433333333333
25,0.520661157025,0.553719008264,0.462809917355,0.446280991736,0.504132231405,0.520661157025,0.471074380165,0.561983471074,0.495867768595,0.512396694215,0.462809917355,0.487603305785,0.570247933884,0.471074380165,0.516666666667,0.483333333333,0.433333333333,0.566666666667,0.483333333333,0.433333333333
26,0.520661157025,0.545454545455,0.446280991736,0.413223140496,0.495867768595,0.512396694215,0.462809917355,0.537190082645,0.471074380165,0.504132231405,0.454545454545,0.471074380165,0.561983471074,0.462809917355,0.491666666667,0.475,0.408333333333,0.566666666667,0.458333333333,0.416666666667
27,0.520661157025,0.512396694215,0.429752066116,0.404958677686,0.462809917355,0.504132231405,0.446280991736,0.528925619835,0.462809917355,0.487603305785,0.438016528926,0.471074380165,0.561983471074,0.462809917355,0.491666666667,0.458333333333,0.4,0.566666666667,0.458333333333,0.391666666667
28,0.504132231405,0.495867768595,0.429752066116,0.396694214876,0.471074380165,0.462809917355,0.454545454545,0.528925619835,0.446280991736,0.487603305785,0.429752066116,0.471074380165,0.537190082645,0.471074380165,0.483333333333,0.458333333333,0.4,0.566666666667,0.416666666667,0.391666666667
29,0.512396694215,0.487603305785,0.429752066116,0.404958677686,0.462809917355,0.471074380165,0.446280991736,0.528925619835,0.446280991736,0.487603305785,0.429752066116,0.454545454545,0.528925619835,0.446280991736,0.466666666667,0.458333333333,0.383333333333,0.55,0.425,0.375
30,0.512396694215,0.471074380165,0.421487603306,0.396694214876,0.454545454545,0.454545454545,0.438016528926,0.504132231405,0.429752066116,0.479338842975,0.421487603306,0.446280991736,0.504132231405,0.429752066116,0.45,0.45,0.366666666667,0.533333333333,0.425,0.375
31,0.504132231405,0.471074380165,0.421487603306,0.396694214876,0.454545454545,0.438016528926,0.429752066116,0.495867768595,0.446280991736,0.471074380165,0.421487603306,0.438016528926,0.487603305785,0.429752066116,0.441666666667,0.45,0.358333333333,0.533333333333,0.408333333333,0.366666666667
32,0.504132231405,0.471074380165,0.421487603306,0.380165289256,0.438016528926,0.429752066116,0.404958677686,0.487603305785,0.413223140496,0.438016528926,0.413223140496,0.413223140496,0.471074380165,0.396694214876,0.416666666667,0.45,0.358333333333,0.491666666667,0.4,0.358333333333
33,0.504132231405,0.454545454545,0.421487603306,0.388429752066,0.429752066116,0.404958677686,0.404958677686,0.471074380165,0.396694214876,0.446280991736,0.413223140496,0.421487603306,0.471074380165,0.404958677686,0.425,0.441666666667,0.35,0.483333333333,0.391666666667,0.35
34,0.504132231405,0.446280991736,0.413223140496,0.396694214876,0.404958677686,0.404958677686,0.404958677686,0.471074380165,0.396694214876,0.438016528926,0.404958677686,0.421487603306,0.462809917355,0.388429752066,0.425,0.441666666667,0.341666666667,0.491666666667,0.358333333333,0.341666666667
35,0.504132231405,0.438016528926,0.404958677686,0.388429752066,0.404958677686,0.388429752066,0.388429752066,0.454545454545,0.388429752066,0.429752066116,0.404958677686,0.413223140496,0.446280991736,0.388429752066,0.408333333333,0.433333333333,0.333333333333,0.483333333333,0.358333333333,0.341666666667
36,0.504132231405,0.446280991736,0.413223140496,0.396694214876,0.421487603306,0.380165289256,0.380165289256,0.462809917355,0.380165289256,0.438016528926,0.404958677686,0.396694214876,0.438016528926,0.380165289256,0.408333333333,0.433333333333,0.325,0.466666666667,0.35,0.333333333333
37,0.504132231405,0.404958677686,0.396694214876,0.363636363636,0.396694214876,0.388429752066,0.380165289256,0.438016528926,0.371900826446,0.421487603306,0.404958677686,0.388429752066,0.446280991736,0.380165289256,0.4,0.433333333333,0.316666666667,0.458333333333,0.35,0.333333333333
38,0.487603305785,0.388429752066,0.396694214876,0.371900826446,0.380165289256,0.388429752066,0.363636363636,0.429752066116,0.363636363636,0.413223140496,0.388429752066,0.388429752066,0.446280991736,0.363636363636,0.375,0.433333333333,0.316666666667,0.45,0.341666666667,0.333333333333
39,0.487603305785,0.380165289256,0.396694214876,0.355371900826,0.363636363636,0.396694214876,0.371900826446,0.421487603306,0.371900826446,0.404958677686,0.380165289256,0.371900826446,0.429752066116,0.363636363636,0.375,0.425,0.316666666667,0.441666666667,0.333333333333,0.333333333333
40,0.479338842975,0.388429752066,0.396694214876,0.338842975207,0.363636363636,0.388429752066,0.363636363636,0.438016528926,0.371900826446,0.404958677686,0.371900826446,0.371900826446,0.429752066116,0.363636363636,0.375,0.441666666667,0.316666666667,0.433333333333,0.333333333333,0.333333333333
41,0.479338842975,0.388429752066,0.396694214876,0.330578512397,0.371900826446,0.388429752066,0.338842975207,0.438016528926,0.371900826446,0.371900826446,0.371900826446,0.363636363636,0.429752066116,0.355371900826,0.366666666667,0.425,0.308333333333,0.425,0.333333333333,0.325
42,0.471074380165,0.371900826446,0.388429752066,0.330578512397,0.371900826446,0.363636363636,0.330578512397,0.421487603306,0.371900826446,0.363636363636,0.363636363636,0.347107438017,0.429752066116,0.355371900826,0.366666666667,0.416666666667,0.308333333333,0.416666666667,0.333333333333,0.325
43,0.487603305785,0.363636363636,0.388429752066,0.322314049587,0.371900826446,0.355371900826,0.330578512397,0.413223140496,0.363636363636,0.363636363636,0.363636363636,0.330578512397,0.429752066116,0.338842975207,0.366666666667,0.416666666667,0.3,0.408333333333,0.325,0.325
44,0.454545454545,0.363636363636,0.380165289256,0.314049586777,0.371900826446,0.355371900826,0.330578512397,0.404958677686,0.355371900826,0.371900826446,0.355371900826,0.330578512397,0.429752066116,0.338842975207,0.358333333333,0.425,0.291666666667,0.391666666667,0.308333333333,0.316666666667
45,0.454545454545,0.363636363636,0.371900826446,0.289256198347,0.371900826446,0.347107438017,0.330578512397,0.388429752066,0.355371900826,0.371900826446,0.355371900826,0.314049586777,0.421487603306,0.330578512397,0.358333333333,0.408333333333,0.291666666667,0.383333333333,0.308333333333,0.308333333333
46,0.454545454545,0.363636363636,0.371900826446,0.280991735537,0.371900826446,0.347107438017,0.322314049587,0.404958677686,0.347107438017,0.355371900826,0.338842975207,0.314049586777,0.413223140496,0.314049586777,0.358333333333,0.391666666667,0.291666666667,0.375,0.3,0.3
47,0.454545454545,0.355371900826,0.363636363636,0.272727272727,0.363636363636,0.338842975207,0.322314049587,0.404958677686,0.347107438017,0.338842975207,0.330578512397,0.314049586777,0.413223140496,0.305785123967,0.358333333333,0.391666666667,0.291666666667,0.375,0.291666666667,0.291666666667
48,0.454545454545,0.338842975207,0.363636363636,0.272727272727,0.355371900826,0.338842975207,0.322314049587,0.404958677686,0.330578512397,0.347107438017,0.330578512397,0.314049586777,0.413223140496,0.297520661157,0.358333333333,0.391666666667,0.291666666667,0.375,0.291666666667,0.291666666667
49,0.462809917355,0.338842975207,0.355371900826,0.280991735537,0.363636363636,0.338842975207,0.314049586777,0.396694214876,0.330578512397,0.330578512397,0.330578512397,0.314049586777,0.413223140496,0.289256198347,0.35,0.383333333333,0.291666666667,0.358333333333,0.3,0.291666666667
50,0.446280991736,0.347107438017,0.355371900826,0.272727272727,0.355371900826,0.338842975207,0.322314049587,0.396694214876,0.330578512397,0.330578512397,0.330578512397,0.314049586777,0.413223140496,0.289256198347,0.35,0.391666666667,0.283333333333,0.358333333333,0.291666666667,0.291666666667
