ndim,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14,fold_15,fold_16,fold_17,fold_18,fold_19,fold_20
1,0.97520661157,0.942148760331,0.95867768595,0.99173553719,0.98347107438,0.96694214876,0.98347107438,1.0,0.95867768595,0.97520661157,0.96694214876,0.96694214876,0.95867768595,0.97520661157,0.958333333333,0.983333333333,0.95,0.991666666667,0.975,0.966666666667
2,0.98347107438,0.98347107438,0.97520661157,0.95041322314,1.0,0.97520661157,0.99173553719,0.96694214876,0.97520661157,0.96694214876,0.99173553719,1.0,0.917355371901,0.99173553719,0.958333333333,0.925,0.983333333333,0.958333333333,0.966666666667,0.95
3,0.97520661157,0.98347107438,0.95867768595,0.99173553719,0.95867768595,0.98347107438,0.98347107438,0.95867768595,0.95867768595,0.95867768595,0.95867768595,0.98347107438,0.99173553719,0.95041322314,0.966666666667,1.0,0.958333333333,0.958333333333,0.983333333333,0.991666666667
4,0.96694214876,0.942148760331,0.98347107438,0.95867768595,0.98347107438,0.98347107438,0.99173553719,0.97520661157,0.95867768595,0.96694214876,0.96694214876,0.98347107438,0.99173553719,0.96694214876,0.975,0.975,0.958333333333,0.983333333333,0.983333333333,0.983333333333
5,0.96694214876,0.97520661157,1.0,0.95867768595,0.98347107438,0.95041322314,0.96694214876,0.98347107438,0.98347107438,0.96694214876,0.97520661157,0.99173553719,0.933884297521,0.98347107438,0.941666666667,0.991666666667,0.958333333333,0.95,0.975,0.941666666667
6,0.96694214876,1.0,0.99173553719,0.95867768595,0.97520661157,0.95867768595,0.96694214876,0.97520661157,0.98347107438,0.99173553719,0.96694214876,0.96694214876,0.96694214876,0.98347107438,0.95,0.991666666667,0.991666666667,0.958333333333,0.983333333333,0.975
7,0.95867768595,0.95041322314,0.96694214876,1.0,0.97520661157,0.95041322314,0.99173553719,0.96694214876,0.99173553719,0.942148760331,0.925619834711,0.97520661157,0.97520661157,0.96694214876,0.983333333333,0.966666666667,0.966666666667,0.941666666667,0.966666666667,1.0
8,0.98347107438,0.96694214876,0.95867768595,0.96694214876,0.96694214876,0.97520661157,0.99173553719,0.96694214876,0.95867768595,0.97520661157,0.98347107438,0.97520661157,0.98347107438,0.96694214876,0.975,0.966666666667,0.983333333333,0.991666666667,0.966666666667,0.983333333333
9,0.96694214876,0.96694214876,0.95867768595,0.96694214876,0.97520661157,0.95867768595,0.98347107438,0.95041322314,0.96694214876,0.98347107438,0.99173553719,0.95867768595,0.97520661157,0.97520661157,0.966666666667,0.958333333333,0.95,0.975,0.975,0.958333333333
10,0.98347107438,0.95041322314,0.95867768595,0.96694214876,0.97520661157,1.0,0.99173553719,0.98347107438,0.96694214876,0.97520661157,0.97520661157,0.97520661157,0.97520661157,0.95867768595,0.975,0.975,0.975,0.966666666667,0.975,0.941666666667
