ndim,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14,fold_15,fold_16,fold_17,fold_18,fold_19,fold_20
1,0.97520661157,0.933884297521,0.97520661157,0.98347107438,0.95041322314,0.95867768595,0.95041322314,0.95867768595,0.97520661157,0.97520661157,0.95867768595,0.95041322314,0.96694214876,0.96694214876,0.975,0.975,0.966666666667,0.975,0.966666666667,0.958333333333
2,0.97520661157,0.97520661157,0.95867768595,0.96694214876,0.95867768595,0.99173553719,0.942148760331,0.96694214876,0.97520661157,0.96694214876,0.99173553719,0.95867768595,0.95867768595,0.95041322314,0.966666666667,0.975,0.983333333333,0.975,0.95,0.933333333333
3,0.933884297521,0.933884297521,0.876033057851,0.942148760331,0.909090909091,0.900826446281,0.909090909091,0.933884297521,0.942148760331,0.867768595041,0.876033057851,0.933884297521,0.892561983471,0.876033057851,0.941666666667,0.958333333333,0.933333333333,0.916666666667,0.941666666667,0.891666666667
4,0.826446280992,0.851239669421,0.842975206612,0.876033057851,0.752066115702,0.876033057851,0.809917355372,0.851239669421,0.859504132231,0.727272727273,0.793388429752,0.818181818182,0.884297520661,0.776859504132,0.808333333333,0.791666666667,0.816666666667,0.85,0.816666666667,0.841666666667
5,0.710743801653,0.719008264463,0.735537190083,0.727272727273,0.644628099174,0.735537190083,0.694214876033,0.768595041322,0.809917355372,0.652892561983,0.702479338843,0.768595041322,0.760330578512,0.677685950413,0.691666666667,0.791666666667,0.758333333333,0.766666666667,0.758333333333,0.675
6,0.677685950413,0.644628099174,0.661157024793,0.719008264463,0.685950413223,0.652892561983,0.685950413223,0.719008264463,0.727272727273,0.628099173554,0.661157024793,0.743801652893,0.702479338843,0.702479338843,0.675,0.65,0.725,0.691666666667,0.725,0.641666666667
7,0.611570247934,0.652892561983,0.628099173554,0.652892561983,0.611570247934,0.644628099174,0.661157024793,0.652892561983,0.669421487603,0.628099173554,0.628099173554,0.644628099174,0.677685950413,0.644628099174,0.65,0.616666666667,0.625,0.616666666667,0.675,0.55
8,0.619834710744,0.603305785124,0.603305785124,0.578512396694,0.611570247934,0.619834710744,0.619834710744,0.603305785124,0.603305785124,0.570247933884,0.611570247934,0.586776859504,0.644628099174,0.619834710744,0.6,0.591666666667,0.533333333333,0.625,0.65,0.5
9,0.586776859504,0.561983471074,0.578512396694,0.561983471074,0.586776859504,0.578512396694,0.553719008264,0.586776859504,0.603305785124,0.553719008264,0.586776859504,0.553719008264,0.586776859504,0.578512396694,0.583333333333,0.533333333333,0.483333333333,0.583333333333,0.625,0.491666666667
10,0.570247933884,0.545454545455,0.578512396694,0.537190082645,0.537190082645,0.553719008264,0.528925619835,0.553719008264,0.578512396694,0.528925619835,0.561983471074,0.537190082645,0.586776859504,0.512396694215,0.525,0.508333333333,0.45,0.6,0.558333333333,0.466666666667
11,0.553719008264,0.504132231405,0.570247933884,0.487603305785,0.537190082645,0.545454545455,0.520661157025,0.545454545455,0.578512396694,0.512396694215,0.537190082645,0.495867768595,0.512396694215,0.504132231405,0.5,0.5,0.433333333333,0.55,0.516666666667,0.441666666667
12,0.528925619835,0.487603305785,0.528925619835,0.479338842975,0.520661157025,0.512396694215,0.495867768595,0.537190082645,0.561983471074,0.504132231405,0.520661157025,0.471074380165,0.487603305785,0.479338842975,0.483333333333,0.483333333333,0.408333333333,0.533333333333,0.516666666667,0.441666666667
13,0.495867768595,0.446280991736,0.487603305785,0.446280991736,0.479338842975,0.487603305785,0.479338842975,0.545454545455,0.537190082645,0.487603305785,0.504132231405,0.446280991736,0.487603305785,0.487603305785,0.433333333333,0.45,0.4,0.508333333333,0.475,0.425
14,0.462809917355,0.471074380165,0.479338842975,0.438016528926,0.438016528926,0.487603305785,0.471074380165,0.512396694215,0.561983471074,0.487603305785,0.495867768595,0.421487603306,0.479338842975,0.479338842975,0.433333333333,0.425,0.375,0.483333333333,0.458333333333,0.4
15,0.446280991736,0.404958677686,0.454545454545,0.413223140496,0.404958677686,0.438016528926,0.446280991736,0.520661157025,0.545454545455,0.462809917355,0.479338842975,0.404958677686,0.454545454545,0.471074380165,0.416666666667,0.441666666667,0.375,0.466666666667,0.433333333333,0.391666666667
16,0.421487603306,0.388429752066,0.471074380165,0.396694214876,0.388429752066,0.438016528926,0.446280991736,0.504132231405,0.512396694215,0.471074380165,0.462809917355,0.388429752066,0.454545454545,0.462809917355,0.383333333333,0.425,0.366666666667,0.425,0.416666666667,0.383333333333
17,0.429752066116,0.380165289256,0.454545454545,0.388429752066,0.380165289256,0.404958677686,0.413223140496,0.487603305785,0.487603305785,0.446280991736,0.446280991736,0.363636363636,0.429752066116,0.454545454545,0.366666666667,0.408333333333,0.358333333333,0.416666666667,0.391666666667,0.35
