ndim,mean_error
1,0.853367768595
2,0.662785812672
3,0.504507575758
4,0.386935261708
5,0.329424931129
6,0.275151515152
7,0.232882231405
8,0.194304407713
9,0.161163911846
10,0.151243112948
11,0.138402203857
12,0.119762396694
13,0.105678374656
14,0.0998725895317
15,0.0878650137741
16,0.0841391184573
17,0.0787396694215
18,0.0725275482094
19,0.0633987603306
20,0.0638154269972
21,0.0576101928375
22,0.0547038567493
23,0.0534745179063
24,0.0455922865014
25,0.0426893939394
26,0.0410296143251
27,0.0406163911846
28,0.0397865013774
29,0.0381336088154
30,0.0352307162534
31,0.0331542699725
32,0.0302479338843
33,0.0294249311295
34,0.0290082644628
35,0.0281887052342
36,0.0273622589532
37,0.0256990358127
38,0.0252858126722
39,0.0252858126722
40,0.0273519283747
41,0.0273553719008
42,0.0265220385675
43,0.0256955922865
44,0.0265289256198
45,0.0265254820937
46,0.0298484848485
47,0.031511707989
48,0.0306818181818
49,0.0319249311295
50,0.032761707989
51,0.0335915977961
52,0.0352479338843
53,0.0377341597796
54,0.0377307162534
55,0.0385606060606
56,0.0406267217631
57,0.0439393939394
58,0.0447658402204
59,0.046008953168
60,0.0480888429752
61,0.0518216253444
62,0.053064738292
63,0.053064738292
64,0.0543009641873
65,0.0576136363636
66,0.0588567493113
67,0.0600964187328
68,0.0629924242424
69,0.0658849862259
70,0.0671246556474
71,0.0667183195592
72,0.0687982093664
73,0.0708643250689
74,0.0717045454545
75,0.0725275482094
76,0.0733574380165
77,0.0729407713499
78,0.0741838842975
79,0.0779097796143
80,0.0766563360882
81,0.0791460055096
82,0.0791494490358
83,0.0791563360882
84,0.0816391184573
85,0.0828719008264
86,0.0832816804408
87,0.0849449035813
88,0.0874311294766
89,0.0890874655647
90,0.0911673553719
91,0.0915736914601
92,0.0928168044077
93,0.0915736914601
94,0.0936398071625
95,0.0961225895317
96,0.0973622589532
97,0.0998450413223
98,0.100254820937
99,0.09983815427
100,0.0981818181818
101,0.0990082644628
102,0.100247933884
103,0.101491046832
104,0.103570936639
105,0.103980716253
106,0.106060606061
107,0.109783057851
108,0.10895661157
109,0.109779614325
110,0.114741735537
111,0.117224517906
112,0.116821625344
113,0.117245179063
114,0.118075068871
115,0.119311294766
116,0.119724517906
117,0.123450413223
118,0.123860192837
119,0.124690082645
120,0.126342975207
121,0.127586088154
122,0.126752754821
123,0.12882231405
124,0.128412534435
125,0.130895316804
126,0.131308539945
127,0.131308539945
128,0.131311983471
129,0.132964876033
130,0.135451101928
131,0.135037878788
132,0.136687327824
133,0.135860881543
134,0.136277548209
135,0.13710399449
136,0.137110881543
137,0.138357438017
138,0.137527548209
139,0.138350550964
140,0.139176997245
141,0.140003443526
142,0.140006887052
143,0.141243112948
144,0.142076446281
145,0.141659779614
146,0.144135674931
147,0.144139118457
148,0.142892561983
149,0.141239669421
150,0.145375344353
