ndim,mean_error
1,0.964800275482
2,0.966026170799
3,0.91553030303
4,0.823522727273
5,0.72745523416
6,0.685995179063
7,0.637079889807
8,0.59979338843
9,0.567892561983
10,0.540953856749
11,0.517331267218
12,0.4991184573
13,0.475492424242
14,0.463047520661
15,0.443605371901
16,0.430330578512
17,0.412930440771
18,0.401325757576
19,0.390151515152
20,0.38145661157
21,0.379810606061
22,0.367386363636
23,0.360778236915
24,0.352517217631
25,0.349610881543
26,0.341315426997
27,0.333440082645
28,0.327658402204
29,0.328064738292
30,0.322269283747
31,0.318536501377
32,0.312730716253
33,0.307351928375
34,0.301139807163
35,0.297403581267
36,0.295733471074
37,0.288694903581
38,0.286639118457
39,0.287871900826
40,0.285382231405
41,0.282906336088
42,0.277933884298
43,0.278340220386
44,0.275024104683
45,0.275027548209
46,0.273787878788
47,0.270471763085
48,0.267159090909
49,0.263842975207
50,0.262183195592
51,0.256794077135
52,0.25347107438
53,0.253054407713
54,0.248085399449
55,0.247262396694
56,0.244779614325
57,0.244772727273
58,0.244359504132
59,0.241460055096
60,0.242286501377
61,0.240213498623
62,0.239807162534
63,0.23648415978
64,0.23525137741
65,0.234841597796
66,0.233178374656
67,0.233598484848
68,0.230695592287
69,0.228212809917
70,0.226143250689
71,0.226559917355
72,0.223243801653
73,0.224070247934
74,0.223663911846
75,0.221997245179
76,0.223657024793
77,0.223653581267
78,0.223243801653
79,0.219917355372
80,0.216198347107
81,0.216608126722
82,0.214951790634
83,0.217035123967
84,0.214552341598
85,0.214969008264
86,0.214972451791
87,0.212902892562
88,0.212073002755
89,0.210006887052
90,0.209176997245
91,0.208763774105
92,0.207107438017
93,0.20585399449
94,0.205437327824
95,0.205034435262
96,0.204197658402
97,0.205447658402
98,0.201305096419
99,0.198402203857
100,0.197992424242
101,0.200061983471
102,0.19882231405
103,0.199648760331
104,0.197988980716
105,0.200058539945
106,0.197162534435
107,0.196745867769
108,0.195506198347
109,0.194266528926
110,0.194263085399
111,0.193023415978
112,0.192603305785
113,0.192606749311
114,0.19178030303
115,0.190120523416
116,0.189290633609
117,0.188044077135
118,0.188044077135
119,0.188460743802
120,0.185981404959
121,0.185158402204
122,0.185154958678
123,0.184741735537
124,0.183502066116
125,0.183085399449
126,0.183085399449
127,0.18224862259
128,0.18266184573
129,0.186387741047
130,0.186384297521
131,0.184318181818
132,0.183908402204
133,0.185151515152
134,0.184738292011
135,0.183495179063
136,0.183075068871
137,0.183488292011
138,0.181831955923
139,0.181005509642
140,0.180592286501
141,0.178935950413
142,0.179762396694
143,0.178932506887
144,0.179758953168
145,0.179349173554
146,0.178935950413
147,0.177279614325
148,0.178519283747
149,0.177692837466
150,0.178932506887
