ndim,mean_error
1,0.971415289256
2,0.970554407713
3,0.972668732782
4,0.973908402204
5,0.968908402204
6,0.975144628099
7,0.968109504132
8,0.974325068871
9,0.968092286501
10,0.972234848485
11,0.97597107438
12,0.972675619835
13,0.971398071625
14,0.978443526171
15,0.97099862259
16,0.969338842975
17,0.970592286501
18,0.971432506887
19,0.974297520661
20,0.971446280992
21,0.968925619835
22,0.976828512397
23,0.972238292011
24,0.975981404959
25,0.975547520661
26,0.977210743802
27,0.975984848485
28,0.973078512397
29,0.97347107438
30,0.97724862259
31,0.969349173554
32,0.968095730028
33,0.966463498623
34,0.970995179063
35,0.973908402204
36,0.971019283747
37,0.967682506887
38,0.973887741047
39,0.963929063361
40,0.976346418733
41,0.973891184573
42,0.973495179063
43,0.976422176309
44,0.972255509642
45,0.97636707989
46,0.97472107438
47,0.973887741047
48,0.972679063361
49,0.975988292011
50,0.978464187328
51,0.975137741047
52,0.97680785124
53,0.973901515152
54,0.975564738292
55,0.976797520661
56,0.972241735537
57,0.970578512397
58,0.97555785124
59,0.97349862259
60,0.972665289256
61,0.973068181818
62,0.97722107438
63,0.977227961433
64,0.974328512397
65,0.971022727273
66,0.974311294766
67,0.975554407713
68,0.972658402204
69,0.976811294766
70,0.979696969697
71,0.972654958678
72,0.973477961433
73,0.97099862259
74,0.979287190083
75,0.977227961433
76,0.97555785124
77,0.972651515152
78,0.97016184573
79,0.975981404959
80,0.976380853994
81,0.975988292011
82,0.977207300275
83,0.972665289256
84,0.971425619835
85,0.967255509642
86,0.974724517906
87,0.969338842975
88,0.980523415978
89,0.97430785124
90,0.968953168044
91,0.976794077135
92,0.974325068871
93,0.971398071625
94,0.972644628099
95,0.971845730028
96,0.970988292011
97,0.976401515152
98,0.978464187328
99,0.969342286501
100,0.973481404959
101,0.971002066116
102,0.975148071625
103,0.973078512397
104,0.97803030303
105,0.975957300275
106,0.96974862259
107,0.972245179063
108,0.97391184573
109,0.972665289256
110,0.969755509642
111,0.97266184573
112,0.977210743802
113,0.970189393939
114,0.973464187328
115,0.974314738292
116,0.975568181818
117,0.970578512397
118,0.968942837466
119,0.976811294766
120,0.966842286501
121,0.975953856749
122,0.976384297521
123,0.973488292011
124,0.982606749311
125,0.975957300275
126,0.970606060606
127,0.974741735537
128,0.973460743802
129,0.971005509642
130,0.968112947658
131,0.973891184573
132,0.976814738292
133,0.973901515152
134,0.980523415978
135,0.973908402204
136,0.974321625344
137,0.974734848485
138,0.973484848485
139,0.973085399449
140,0.975123966942
141,0.973901515152
142,0.971429063361
143,0.976811294766
144,0.975547520661
145,0.972252066116
146,0.972258953168
147,0.974325068871
148,0.973061294766
149,0.972637741047
150,0.973488292011
